CellCode	CellType
ov04__c00003	Normal
ov04__c00020	Normal
ov04__c00060	Normal
ov04__c00061	Normal
ov04__c00065	Normal
ov04__c00089	Tumor
ov04__c00132	Normal
ov04__c00155	Normal
ov04__c00164	Normal
ov04__c00174	Normal
ov04__c00175	Normal
ov04__c00177	Normal
ov04__c00187	Normal
ov04__c00204	Normal
ov04__c00205	Normal
ov04__c00217	Tumor
ov04__c00278	Normal
ov04__c00293	Normal
ov04__c00294	Normal
ov04__c00316	Normal
ov04__c00364	Normal
ov04__c00371	Normal
ov04__c00417	Normal
ov04__c00441	Normal
ov04__c00451	Tumor
ov04__c00454	Normal
ov04__c00470	Normal
ov04__c00501	Normal
ov04__c00517	Normal
ov04__c00526	Normal
ov04__c00529	Normal
ov04__c00531	Normal
ov04__c00539	Normal
ov04__c00551	Normal
ov04__c00593	Normal
ov04__c00614	Normal
ov04__c00627	Tumor
ov04__c00644	Tumor
ov04__c00661	Normal
ov04__c00701	Normal
ov04__c00703	Normal
ov04__c00719	Tumor
ov04__c00745	Tumor
ov04__c00746	Normal
ov04__c00762	Normal
ov04__c00807	Normal
ov04__c00814	Normal
ov04__c00840	Normal
ov04__c00859	Normal
ov04__c00861	Normal
ov04__c00862	Normal
ov04__c00872	Normal
ov04__c00888	Normal
ov04__c00946	Normal
ov04__c00953	Normal
ov04__c00957	Normal
ov04__c00959	Normal
ov04__c00965	Normal
ov04__c01005	Tumor
ov04__c01016	Normal
ov04__c01057	Normal
ov04__c01098	Normal
ov04__c01112	Normal
ov04__c01127	Normal
ov04__c01141	Normal
ov04__c01155	Normal
ov04__c01181	Normal
ov04__c01184	Normal
ov04__c01213	Tumor
ov04__c01226	Normal
ov04__c01228	Normal
ov04__c01255	Normal
ov04__c01256	Normal
ov04__c01267	Tumor
ov04__c01274	Normal
ov04__c01298	Normal
ov04__c01299	Tumor
ov04__c01307	Tumor
ov04__c01308	Normal
ov04__c01385	Tumor
ov04__c01390	Tumor
ov04__c01395	Normal
ov04__c01404	Normal
ov04__c01412	Normal
ov04__c01414	Normal
ov04__c01417	Normal
ov04__c01426	Tumor
ov04__c01434	Normal
ov04__c01435	Normal
ov04__c01439	Normal
ov04__c01457	Normal
ov04__c01470	Normal
ov04__c01486	Normal
