"FALSE" "TRUE" "MeanDecreaseAccuracy" "MeanDecreaseGini"
"Gene414" 5.71319627790425 6.87135218566764 8.54854821264179 246.438441589884
"Gene2081" 5.37203771276781 5.82853023217401 7.22491800098404 197.753205127635
"Gene573" 5.32781913354045 5.37146852398208 7.01505808092539 375.077016344573
"Gene1255" 5.02467673988209 5.73712632820938 6.98596286340101 93.0039449086911
"Gene1259" 5.78460314105064 4.63918675259634 6.77246555951684 86.919625914339
"Gene413" 6.24867842180047 4.39435123737522 6.68669750859808 200.440769015052
"Gene282" 6.85093710720107 4.46550949181422 6.60809296734981 296.417530237737
"Gene2044" 6.02066418929625 4.10718462713232 6.53281422994519 121.375623420216
"Gene309" 4.57462969481681 5.01592707780688 6.40152815197404 23.8903021644316
"Gene416" 5.29354927122507 4.85230244294997 6.39710582713685 290.63650616222
"Gene668" 5.73535062522443 4.84182654459218 6.35067148662612 296.920084203574
"Gene998" 5.91898337676955 4.48014510501659 6.23109648035952 34.9852236109749
"Gene1018" 5.06757247069506 4.98815268003135 5.98852360904677 52.8147115729558
"Gene300" -1.79562042044785 5.89184833795036 5.87309209781163 120.003101207357
"Gene1020" 3.47072070149895 5.52468037434175 5.86549380457199 21.1489543637643
"Gene1656" 4.16085987732613 5.1076464727721 5.73370964014358 53.1677598361574
"Gene1267" 3.55666270837933 4.79238129958271 5.47355862622596 14.4839987320397
"Gene1901" -3.35354351441626 5.34396744992926 5.30772424846823 59.6440243342732
"Gene564" -1.51084501623946 5.16449677812396 5.17215806780606 50.2809466068493
"Gene866" -0.18001719665748 5.01012001585485 5.05068085329094 104.361796293796
"Gene464" 4.92330157756418 3.5627113252588 4.97636122119623 158.45722315898
"Gene884" 3.81823882556888 4.23172374630232 4.97254539806581 36.0382950088924
"Gene1630" 4.94883020336813 3.70484299524665 4.88345160422862 68.3156246776539
"Gene577" 3.97640228660096 5.00662847766866 4.85052463815351 14.9223053054923
"Gene186" 4.45880761529613 3.64469942506931 4.82510323067808 120.238440676854
"Gene313" -4.34735736242719 4.82718982749961 4.80656833008035 15.9736791180423
"Gene519" 4.50058366807899 3.89936697022462 4.77182409880713 16.527071592457
"Gene592" 4.72421722900234 3.17834277381377 4.71376510145278 108.555244231452
"Gene1071" 3.24123181447121 4.46188828279603 4.69251302542935 9.41834774613777
"Gene947" -2.90693448363523 4.60970286696347 4.62028771400796 12.4299490025794
"Gene1742" 4.46735566572974 3.1961638023109 4.54031202893994 100.363124257165
"Gene70" 0.209213525124285 4.46895622673877 4.52491674116394 4.76304213633075
"Gene285" -1.8935656207405 4.46405208468133 4.47470817050813 2.24901230402244
"Gene1249" 3.6979536640144 2.9060686998315 4.46174273589026 83.9687627935598
"Gene338" 4.05114261378633 3.37236156622089 4.39400614611379 99.4406492960062
"Gene1012" -1.49329391180366 4.42640296546008 4.36924624610671 64.3806184491999
"Gene1607" 3.85862379482946 3.77465603800203 4.36038175513932 49.7676319104126
"Gene899" 3.718371990977 3.69186940515872 4.34273405251579 55.3353589419674
"Gene737" -0.643482896619678 4.25369508271938 4.30117559957462 13.9701980525025
"Gene2052" 3.94560975584038 2.67850137707993 4.24732863693684 3.75314218291828
"Gene1654" -0.507872660528144 4.1735836230237 4.20941165842792 66.4990020789429
"Gene885" 3.49835314357102 4.08418085560111 4.17706333391229 13.8541047365621
"Gene1564" 2.03872677684657 4.08128322435292 4.1663932283052 6.43608687821161
"Gene324" -0.117942751364088 4.16496189529407 4.15263976697736 3.94999389797155
"Gene1179" 4.11548695603852 3.07275255784557 4.13017083535566 22.2782756003472
"Gene489" 0.793147199780924 4.06846899622022 4.06964436209579 36.7360397210451
"Gene492" -2.11323947810169 4.08618210917024 4.06688291094236 4.63102035715381
"Gene890" -0.646896484010989 4.02489511255941 4.01752155889055 9.99400698718292
"Gene591" 3.99406008198533 2.69249344208298 3.96914636439721 119.407306354177
"Gene55" 1.85882745207097 3.76445985375278 3.96798707884793 3.62164021505763
"Gene883" 2.70226592581685 3.76180412477444 3.94748608893538 15.9657352944764
"Gene312" -2.65623017556869 3.95408543356652 3.94659782271866 25.668711880761
"Gene2306" 3.68444947665398 3.38928045354626 3.90693648657046 12.2704331570851
"Gene1248" -0.057376915363303 3.88761015066442 3.89038307905524 11.3817962388841
"Gene310" -1.89745241286557 3.84166654249559 3.85747915814969 8.80124704459744
"Gene1174" 4.33901838920921 0.296139915019821 3.85281635237076 4.4601951171
"Gene797" -2.25003127368866 3.87065050836835 3.84852163890412 6.47599888040732
"Gene999" -1.09855582579415 3.83521291138519 3.82166113667019 7.87394859226785
"Gene565" 1.93303719613435 3.62832212640414 3.77140251560822 23.8179386026655
"Gene331" -1.16703543248014 3.69177200508952 3.69169114091707 2.91500796924838
"Gene323" 2.12175071546664 2.94300096438507 3.68078517833169 9.61657034620944
"Gene891" 0.500809653304868 3.78800384759852 3.67539259587365 12.1682835044161
"Gene302" -3.44182639951659 3.67495099443293 3.65897598636803 6.75796788092455
"Gene621" 0.964521980581217 3.55201196767776 3.65070909733892 8.41378062587729
"Gene195" 3.05332533912575 1.99184093949637 3.64353147907817 2.90191182047848
"Gene1490" 3.33708073961906 2.90889048745661 3.60740019236405 4.90969771878751
"Gene2172" 1.30314862854906 3.61560596493642 3.58189275840634 6.35304617660332
"Gene886" 1.4431684321609 3.16860910747837 3.5705443493903 1.47023451980833
"Gene2312" 3.53256258172966 2.3783864710684 3.55948923910839 46.9807461202932
"Gene2190" 3.01287977549508 3.163737576583 3.55816808992245 8.16234016694203
"Gene633" -0.68348969065035 3.52253761594839 3.55800339425934 3.14712792266058
"Gene340" 2.22210877726247 3.48963992147066 3.54833844999585 18.5304589603944
"Gene894" 0.0104655134380337 3.7910174031632 3.54478401150776 2.06442661348064
"Gene484" 2.85046420471655 3.48381413688211 3.54374393755056 75.9605612066302
"Gene1895" 2.43826815978975 2.71966151498234 3.54152486331631 5.74257877232364
"Gene307" -0.406900243862111 3.51556326540345 3.53443569513812 10.2442849725088
"Gene321" -2.60814099524582 3.54427569640467 3.52622599732358 4.70664156616358
"Gene113" 3.3342794781888 3.04415842760731 3.48233714112501 7.07268795239213
"Gene2210" -1.83778443368461 3.47880778875293 3.4716972678589 0.537088131120279
"Gene2132" 2.74954085518555 3.16431893725262 3.46772102669392 16.9639035524386
"Gene943" -1.73181401294665 3.46149318491056 3.46323460798991 1.45904285261458
