Gene_combination	Coverage_tumor	Coverage_normal
Gene414_Gene883	0.9650135256988278	0.11517955151325074
Gene2044_Gene883	0.9646528403967538	0.3269562490199153
Gene2044_Gene414	0.9614066726780883	0.06209816528148032
Gene413_Gene414	0.9574391343552751	0.048925827191469345
Gene413_Gene883	0.957258791704238	0.1369766347812451
Gene2044_Gene413	0.9559963931469793	0.06876274110083111
Gene883_Gene885	0.9559963931469793	0.9713815273639642
Gene2044_Gene318	0.951487826871055	0.26830798180962834
Gene318_Gene883	0.951487826871055	0.685510428100988
Gene883_Gene884	0.9505861136158702	0.9750666457581935
Gene2044_Gene885	0.9495040577096483	0.3216245883644347
Gene414_Gene885	0.9491433724075744	0.11094558569860435
Gene318_Gene414	0.9475202885482417	0.09636192567037792
Gene186_Gene883	0.945175834084761	0.2261251372118551
Gene186_Gene414	0.9449954914337241	0.05543358946212953
Gene2044_Gene884	0.9442741208295762	0.3232711306256861
Gene318_Gene413	0.9442741208295762	0.11220009408812921
Gene414_Gene884	0.9439134355275023	0.11204328053943861
Gene413_Gene885	0.9417493237150586	0.13305629606397992
Gene186_Gene2044	0.9415689810640216	0.0937745021169829
Gene573_Gene883	0.9415689810640216	0.07809314724792223
Gene2044_Gene573	0.9408476104598738	0.04978830170926768
Gene186_Gene413	0.9406672678088368	0.06100047044064607
Gene884_Gene885	0.9385031559963931	0.9707542731692018
Gene414_Gene573	0.9381424706943192	0.03567508232711306
Gene318_Gene885	0.9372407574391344	0.6794731064763996
Gene413_Gene884	0.9370604147880974	0.1343108044535048
Gene413_Gene573	0.9329125338142471	0.036537556844911404
Gene318_Gene884	0.93273219116321	0.6814332758350321
Gene318_Gene573	0.9302073940486926	0.06931158852124823
Gene573_Gene885	0.9296663660955816	0.07385918143327584
Gene186_Gene885	0.9287646528403968	0.22047984945899327
Gene186_Gene318	0.927682596934175	0.19523286811980556
Gene186_Gene884	0.9238954012623986	0.2214991375254822
Gene323_Gene883	0.9231740306582507	0.9045005488474204
Gene573_Gene884	0.9226330027051398	0.07401599498196644
Gene2044_Gene282	0.9215509467989179	0.0683707072291046
Gene282_Gene883	0.9204688908926961	0.13548690606868433
Gene2044_Gene323	0.9193868349864743	0.31793946997020545
Gene323_Gene414	0.9170423805229937	0.11274894150854634
Gene1020_Gene2044	0.9166816952209198	0.30202289477810884
Gene140_Gene883	0.9166816952209198	0.42582719146934295
Gene1020_Gene883	0.9165013525698827	0.8764309236318018
Gene186_Gene573	0.9159603246167719	0.04673043750980085
Gene282_Gene414	0.915419296663661	0.0366159636192567
Gene2044_Gene416	0.915238954012624	0.057707385918143325
Gene416_Gene883	0.9150586113615871	0.08569860435941665
Gene140_Gene2044	0.9146979260595131	0.19068527520777795
Gene323_Gene413	0.9136158701532913	0.13493805864826722
Gene414_Gene416	0.9136158701532913	0.03128430296377607
Gene140_Gene414	0.9130748422001803	0.06139250431237259
Gene309_Gene883	0.9130748422001803	0.5073702367884585
Gene309_Gene414	0.9121731289449955	0.06891955464952172
Gene282_Gene413	0.9119927862939585	0.04045789556217657
Gene282_Gene318	0.9112714156898106	0.09510741728085306
Gene413_Gene416	0.9110910730387737	0.03387172651717108
Gene323_Gene885	0.9109107303877367	0.8976007527050337
Gene1020_Gene414	0.9107303877366997	0.10616277246354085
Gene2044_Gene309	0.9098286744815148	0.20181903716481103
Gene318_Gene416	0.9094679891794409	0.07746589305315979
Gene1020_Gene318	0.909107303877367	0.6407401599498197
Gene282_Gene885	0.909107303877367	0.13046887251058492
Gene318_Gene323	0.909107303877367	0.6246667712090325
Gene195_Gene2044	0.9080252479711451	0.2518425591971146
Gene140_Gene413	0.9078449053201082	0.06931158852124823
Gene323_Gene884	0.9076645626690713	0.9027755998118238
Gene1020_Gene413	0.9074842200180343	0.12419633056296064
Gene1020_Gene885	0.9060414788097385	0.8705504155559041
Gene195_Gene883	0.9056807935076646	0.6814332758350321
Gene309_Gene413	0.9053201082055906	0.082170299513878
Gene883_Gene899	0.9053201082055906	0.9443311902148346
Gene416_Gene885	0.9045987376014427	0.08311118080602165
Gene2081_Gene883	0.9044183949504058	0.11055355182687784
Gene282_Gene884	0.9035166816952209	0.13172338090010977
Gene2081_Gene414	0.903336339044184	0.038105692331817466
Gene195_Gene414	0.903155996393147	0.08726673984632272
