Gene_combination	Coverage_tumor	Coverage_normal
Gene883_Gene2210	0.9807033363390442	0.9215148188803512
Gene883_Gene1172	0.9798016230838593	0.8217814019131253
Gene883_Gene2172	0.9796212804328224	0.89665987141289
Gene883_Gene1564	0.9788999098286745	0.879567194605614
Gene414_Gene2210	0.9778178539224527	0.11517955151325074
Gene883_Gene621	0.9774571686203787	0.8922690920495531
Gene883_Gene943	0.9770964833183048	0.838482044848675
Gene414_Gene1172	0.9769161406672678	0.10561392504312372
Gene414_Gene2172	0.9767357980162309	0.11267053473420104
Gene883_Gene310	0.9767357980162309	0.5192880664889447
Gene2044_Gene2210	0.9763751127141569	0.30743296220793476
Gene414_Gene1564	0.976014427412083	0.11212168731378391
Gene883_Gene276	0.975653742110009	0.6256860592755215
Gene2044_Gene1172	0.975473399458972	0.27661909989023054
Gene2044_Gene2172	0.9752930568079351	0.31394072447859495
Gene414_Gene621	0.9747520288548241	0.1139250431237259
Gene2044_Gene1564	0.9745716862037872	0.3125294025403795
Gene414_Gene310	0.9740306582506763	0.07189901207464325
Gene414_Gene943	0.9740306582506763	0.09871412890073702
Gene883_Gene302	0.9738503155996393	0.6154931786106319
Gene883_Gene1248	0.9733092876465284	0.7690920495530814
Gene2044_Gene621	0.9731289449954914	0.31660655480633526
Gene414_Gene276	0.9727682596934175	0.07856358789399404
Gene883_Gene70	0.9727682596934175	0.9055982436882547
Gene883_Gene999	0.9727682596934175	0.6462286341539909
Gene883_Gene340	0.9725879170423806	0.868747059745962
Gene2044_Gene310	0.9724075743913435	0.1575976164340599
Gene2044_Gene943	0.9724075743913435	0.22761486592441588
Gene883_Gene324	0.9724075743913435	0.8347969264544457
Gene883_Gene313	0.9722272317403066	0.4424494276305473
Gene883_Gene633	0.9722272317403066	0.780617845381841
Gene883_Gene2239	0.9720468890892696	0.8087658773718049
Gene2044_Gene276	0.9715058611361587	0.26313313470283833
Gene414_Gene302	0.9709648331830478	0.0776227066018504
Gene883_Gene492	0.9707844905320108	0.7665830327740317
Gene414_Gene1248	0.9706041478809738	0.08797240081543045
Gene413_Gene2210	0.9704238052299369	0.1347812450995766
Gene414_Gene70	0.970063119927863	0.1140034498980712
Gene414_Gene340	0.9698827772768259	0.11141602634467618
Gene414_Gene999	0.9698827772768259	0.08138623177042496
Gene2044_Gene302	0.969522091974752	0.264858083738435
Gene413_Gene1172	0.969522091974752	0.1230986357221264
Gene414_Gene313	0.969522091974752	0.05872667398463227
Gene414_Gene324	0.969522091974752	0.10820134859651874
Gene413_Gene2172	0.9693417493237151	0.13399717735612357
Gene414_Gene633	0.9693417493237151	0.09118707856358789
Gene414_Gene2239	0.9691614066726781	0.09440175631174534
Gene2044_Gene1248	0.9689810640216411	0.19342951230986358
Gene413_Gene1564	0.9688007213706041	0.13329151638701583
Gene2044_Gene70	0.9684400360685302	0.31770424964716953
Gene2044_Gene999	0.9684400360685302	0.20903246040457896
Gene2044_Gene340	0.9682596934174932	0.3102556060843657
Gene2044_Gene324	0.9680793507664562	0.2711306256860593
Gene2044_Gene313	0.9678990081154193	0.12098165281480319
Gene2044_Gene633	0.9678990081154193	0.2011133761957033
Gene2044_Gene2239	0.9677186654643823	0.21452093460875019
Gene414_Gene492	0.9677186654643823	0.09212795985573154
Gene413_Gene621	0.9671776375112714	0.13595734671475615
Gene2044_Gene492	0.9664562669071235	0.1916261564999216
Gene413_Gene310	0.9664562669071235	0.08491453661596363
Gene413_Gene943	0.9664562669071235	0.11917829700486123
Gene413_Gene276	0.9653742110009017	0.09228477340442214
Gene413_Gene302	0.963751127141569	0.08875646855888349
Gene883_Gene1654	0.963570784490532	0.359181433275835
Gene885_Gene2210	0.9633904418394951	0.9141445820918928
Gene883_Gene797	0.9632100991884581	0.5727614865924416
Gene413_Gene1248	0.9630297565374211	0.10804453504782813
Gene883_Gene285	0.9626690712353472	0.7095029010506507
